,year participation,gallery city,gallery name,,,,,,link
Art Dubai Modern,2018,Mumbai / New Dehli / New York,DAG,,,,,,<https://www.artdubai.ae/gallery/dag-2018/>
Art Dubai Modern,2018,Dubai / Tunis,Elmarsa,,,,,,<https://www.artdubai.ae/gallery/elmarsa-modern-2018/>
Art Dubai Modern,2018,Egypt,Karim Francis Gallery,,,,,,<https://www.artdubai.ae/gallery/karim-francis-modern-2018/>
Art Dubai Modern,2018,London,Grosvenor Gallery,,,,,,<https://www.artdubai.ae/gallery/grosvenor-gallery-modern-2018/>
Art Dubai Modern,2018,Beirut / New York / Paris,Mark Hachem,,,,,,<https://www.artdubai.ae/gallery/mark-hachem-modern-2018/>
Art Dubai Modern,2018,Jeddah,Hafez Gallery,,,,,,<https://www.artdubai.ae/gallery/hafez-gallery-modern-2018/>
Art Dubai Modern,2018,Ramallah,Gallery One,,,,,,<https://www.artdubai.ae/gallery/gallery-one-modern-2018/>
Art Dubai Modern,2018,Lisbon,Perve Galeria,,,,,,<https://www.artdubai.ae/gallery/perve-galeria-modern-2018/>
Art Dubai Modern,2018,New Delhi,Sanchit Art,,,,,,<https://www.artdubai.ae/gallery/sanchit-art-modern-2018/>
Art Dubai Modern,2018,Cairo,Ubuntu Art Gallery,,,,,,<https://www.artdubai.ae/gallery/ubuntu-art-gallery-modern-2018/>
Art Dubai Modern,2018,Amman,Wadi Finan Art Gallery,,,,,,<https://www.artdubai.ae/gallery/wadi-finan-art-gallery-modern-2018/>
Art Dubai Modern,2019,Mumbai / New Dehli / New York,DAG,S.H. Raza,,,,,<https://www.artdubai.ae/gallery/dag-2019-2/>
Art Dubai Modern,2019,New Delhi,Dhoomimal Gallery,J. Swaminathan,,,,,<https://www.artdubai.ae/gallery/dhoomimal-gallery-2019/>
Art Dubai Modern,2019,Dubai / Tunis,Elmarsa,Pierre BOUCHERLE,,,,,<https://www.artdubai.ae/gallery/elmarsa-modern-2019/>
Art Dubai Modern,2019,London,Grosvenor Gallery,Jean-Michel Atlan,,,,,<https://www.artdubai.ae/gallery/grosvenor-gallery-modern-2019/>
Art Dubai Modern,2019,Beirut / New York / Paris,Mark Hachem,Hamed Abdalla,,,,,<https://www.artdubai.ae/gallery/mark-hachem-modern-2019/>
Art Dubai Modern,2019,Jeddah,Hafez Gallery,Abdulrahman Al Sulaiman,,,,,<https://www.artdubai.ae/gallery/hafez-gallery-modern-2019/>
