section,year participation,gallery city,gallery name,link
Art Dubai Contemporary,2022,Tangier,DAR D’ART Gallery,<https://www.artdubai.ae/gallery/dar-dart-2022/>
Art Dubai Contemporary,2022,Tehran,Dastan’s Basement,<https://www.artdubai.ae/gallery/dastans-basement-2022/>
Art Dubai Contemporary,2022,Istanbul,Dirimart,<https://www.artdubai.ae/gallery/dirimart-2022/>
Art Dubai Contemporary,2022,Kolkata,Experimenter,<https://www.artdubai.ae/gallery/experimenter-2022/>
Art Dubai Contemporary,2022,Dubai,Gallery Isabelle van den Eynde,<https://www.artdubai.ae/gallery/gallery-isabelle-van-den-eynde-2022/>
Art Dubai Contemporary,2022,London / Tunis,Selma Feriani Gallery,<https://www.artdubai.ae/gallery/selmaferianigallery-2022/>
Art Dubai Contemporary,2022,Bogota,FORO.SPACE,<https://www.artdubai.ae/gallery/forospace-2022/>
Art Dubai Contemporary,2022,Baku / London,Gazelli Art House,<https://www.artdubai.ae/gallery/gazelli-art-house-2022/>
Art Dubai Contemporary,2022,Dubai,Green Art Gallery,<https://www.artdubai.ae/gallery/green-art-gallery-2022/>
Art Dubai Contemporary,2022,London,Grosvenor Gallery,<https://www.artdubai.ae/gallery/grosvenor-gallery-2022-2/>
Art Dubai Contemporary,2022,Beirut / New York / Paris,Mark Hachem,<https://www.artdubai.ae/gallery/markhachem-2022/>
Art Dubai Contemporary,2022,Jeddah,Hafez Gallery,<https://www.artdubai.ae/gallery/hafez-gallery-2022/>
Art Dubai Contemporary,2022,Munich,HELDENREIZER Contemporary,<https://www.artdubai.ae/gallery/heldenreizercontemporary-2022/>
Art Dubai Contemporary,2022,Dubai / New York,Leila Heller Gallery,<https://www.artdubai.ae/gallery/leila-heller-gallery-2022/>
Art Dubai Contemporary,2022,Belgrade,Hestia,<https://www.artdubai.ae/gallery/hestia-2022/>
Art Dubai Contemporary,2022,Berlin / London / Nevlunghavn,Kristin Hjellegjerde Gallery,<https://www.artdubai.ae/gallery/kristin-hjellegjerde-gallery-2022/>
Art Dubai Contemporary,2022,Buenos Aires,Isla Flotante,<https://www.artdubai.ae/gallery/isla-flotante-2022/>
Art Dubai Contemporary,2022,Mumbai,Jhaveri Contemporary,<https://www.artdubai.ae/gallery/jhaveri-contemporary-2022/>
Art Dubai Contemporary,2022,Seoul,Keumsan Gallery,<https://www.artdubai.ae/gallery/keumsangallery-2022/>
Art Dubai Contemporary,2022,Mainz / Venice,Gallery Dr. Dorothea van der Koelen,<https://www.artdubai.ae/gallery/galerie-dorothea-van-der-koelen-2022/>
Art Dubai Contemporary,2022,Berlin,Galerie Kornfeld,<https://www.artdubai.ae/gallery/galerie-kornfeld-2022/>
Art Dubai Contemporary,2022,Vienna,Galerie Krinzinger,<https://www.artdubai.ae/gallery/galerie-krinzinger-2022-2/>
Art Dubai Contemporary,2022,New Delhi,Gallery Latitude 28,<https://www.artdubai.ae/gallery/latitude-28-2022/>
Art Dubai Contemporary,2022,Düsseldorf / Istanbul,ANNA LAUDEL,<https://www.artdubai.ae/gallery/anna-laudel-2022/>
Art Dubai Contemporary,2022,Dubai / London,Lawrie Shabibi,<https://www.artdubai.ae/gallery/lawrie-shabibi-2022/>
