Tezos USD (XTZ-USD) CCC - CoinMarketCap. Currency in USD,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
"Jan 15, 2020",1.329,1.405,1.299,1.3428,1.3428,"59,355,419"
"Jan 14, 2020",1.2793,1.3566,1.2717,1.3322,1.3322,"53,074,477"
"Jan 13, 2020",1.3101,1.3107,1.2666,1.2795,1.2795,"36,870,088"
"Jan 12, 2020",1.3066,1.3215,1.2968,1.3109,1.3109,"30,492,207"
"Jan 11, 2020",1.3068,1.348,1.2953,1.3053,1.3053,"39,100,862"
"Jan 10, 2020",1.2869,1.3322,1.2606,1.3063,1.3063,"41,884,562"
"Jan 09, 2020",1.3319,1.3673,1.2744,1.2899,1.2899,"47,676,368"
"Jan 08, 2020",1.2983,1.3968,1.2748,1.3336,1.3336,"49,431,499"
"Jan 07, 2020",1.3063,1.3331,1.2615,1.2983,1.2983,"49,139,469"
"Jan 06, 2020",1.2633,1.3418,1.2628,1.3055,1.3055,"43,088,423"
"Jan 05, 2020",1.2621,1.2996,1.2486,1.2636,1.2636,"36,629,230"
"Jan 04, 2020",1.2824,1.2999,1.2298,1.2619,1.2619,"38,156,086"
"Jan 03, 2020",1.24,1.3089,1.2364,1.2822,1.2822,"43,721,354"
"Jan 02, 2020",1.3706,1.3791,1.2344,1.241,1.241,"37,676,355"
"Jan 01, 2020",1.3513,1.3738,1.3245,1.3702,1.3702,"35,642,475"
"Dec 31, 2019",1.3329,1.4028,1.3078,1.3523,1.3523,"42,638,601"
"Dec 30, 2019",1.3146,1.361,1.2963,1.3321,1.3321,"41,116,951"
"Dec 29, 2019",1.3268,1.3555,1.2899,1.3128,1.3128,"45,413,699"
"Dec 28, 2019",1.3847,1.3932,1.3261,1.3268,1.3268,"43,957,470"
"Dec 27, 2019",1.3715,1.4137,1.3637,1.3834,1.3834,"38,176,059"
"Dec 26, 2019",1.4141,1.432,1.3545,1.3715,1.3715,"47,649,174"
"Dec 25, 2019",1.4955,1.5002,1.4037,1.4141,1.4141,"40,558,090"
"Dec 24, 2019",1.5189,1.5373,1.4859,1.4955,1.4955,"37,812,261"
"Dec 23, 2019",1.4704,1.5785,1.4639,1.5188,1.5188,"56,083,425"
"Dec 22, 2019",1.4789,1.5279,1.4513,1.4676,1.4676,"50,459,429"
"Dec 21, 2019",1.6014,1.611,1.4765,1.4785,1.4785,"49,226,920"
"Dec 20, 2019",1.5142,1.6009,1.4949,1.6,1.6,"58,433,436"
"Dec 19, 2019",1.592,1.6173,1.4655,1.514,1.514,"62,825,585"
"Dec 18, 2019",1.5412,1.6212,1.453,1.596,1.596,"90,681,124"
"Dec 17, 2019",1.6728,1.7722,1.5197,1.5412,1.5412,"92,967,379"
"Dec 16, 2019",1.6784,1.7138,1.6106,1.6728,1.6728,"68,707,545"
"Dec 15, 2019",1.6846,1.7313,1.6086,1.678,1.678,"67,968,594"
"Dec 14, 2019",1.7685,1.7785,1.6343,1.6837,1.6837,"83,605,655"
"Dec 13, 2019",1.7752,1.8439,1.6743,1.7673,1.7673,"119,493,566"
"Dec 12, 2019",1.5759,1.7803,1.5211,1.7696,1.7696,"107,780,127"
"Dec 11, 2019",1.4836,1.5912,1.474,1.5759,1.5759,"71,607,317"
"Dec 10, 2019",1.5582,1.5582,1.4046,1.4846,1.4846,"66,319,642"
"Dec 09, 2019",1.6068,1.6553,1.5402,1.5591,1.5591,"63,051,414"
"Dec 08, 2019",1.4469,1.6184,1.4465,1.6078,1.6078,"67,179,436"
"Dec 07, 2019",1.3801,1.4718,1.3679,1.4475,1.4475,"49,917,913"
"Dec 06, 2019",1.2981,1.4171,1.2822,1.3787,1.3787,"38,711,970"
"Dec 05, 2019",1.2476,1.3287,1.2406,1.2993,1.2993,"32,086,367"
"Dec 04, 2019",1.2932,1.3204,1.2487,1.2487,1.2487,"46,048,752"
