airport_id,city,name,latitude,longitude,country,iata,icao,altitude,altitude,timezone,dst,tz
949,Kuito,Kuito Airport,-12.40460014,16.94739914,Angola,SVP,FNKU,5618,1,N,Africa/Luanda,airport
950,Lobito,Lobito Airport,-12.37119961,13.53660011,Angola,\N,FNLB,10,1,N,Africa/Luanda,airport
959,Lubango,Lubango Airport,-14.92469978,13.57499981,Angola,SDD,FNUB,5778,1,N,Africa/Luanda,airport
7411,Lucapa,Lucapa Airport,-8.445727348,20.73208618,Angola,LBZ,FNLK,3029,1,U,Africa/Luanda,airport
960,Luena,Luena Airport,-11.76809978,19.89769936,Angola,LUO,FNUE,4360,1,N,Africa/Luanda,airport
952,Malanje,Malanje Airport,-9.525090218,16.31240082,Angola,MEG,FNMA,3868,1,N,Africa/Luanda,airport
944,M'banza-congo,Mbanza Congo Airport,-6.269899845,14.24699974,Angola,SSY,FNBC,1860,1,N,Africa/Luanda,airport
953,Menongue,Menongue Airport,-14.6576004,17.71980095,Angola,SPP,FNME,4469,1,N,Africa/Luanda,airport
5633,Mocamedes,Namibe Airport,-15.26119995,12.14680004,Angola,MSZ,FNMO,210,1,N,Africa/Luanda,airport
955,Negage,Negage Airport,-7.754509926,15.2876997,Angola,GXG,FNNG,4105,1,N,Africa/Luanda,airport
5632,Ondjiva,Ngjiva Pereira Airport,-17.0435009,15.68379974,Angola,VPE,FNGI,3566,1,N,Africa/Luanda,airport
948,Huambo,Nova Lisboa Airport,-12.80889988,15.76049995,Angola,NOV,FNHU,5587,1,N,Africa/Luanda,airport
7409,Nzagi,Nzagi Airport,-7.716939926,21.35820007,Angola,NZA,FNZG,2431,1,U,Africa/Luanda,airport
956,Porto Amboim,Porto Amboim Airport,-10.72200012,13.76550007,Angola,PBN,FNPA,16,1,N,Africa/Luanda,airport
951,Luanda,Quatro de Fevereiro Airport,-8.858369827,13.23120022,Angola,LAD,FNLU,243,1,N,Africa/Luanda,airport
957,Saurimo,Saurimo Airport,-9.689069748,20.43190002,Angola,VHC,FNSA,3584,1,N,Africa/Luanda,airport
958,Soyo,Soyo Airport,-6.141089916,12.37180042,Angola,SZA,FNSO,15,1,N,Africa/Luanda,airport
11806,Sumbe,Sumbe Airport,-11.16790009,13.84749985,Angola,NDD,FNSU,36,\N,\N,\N,airport
961,Uige,Uige Airport,-7.603069782,15.02779961,Angola,UGO,FNUG,2720,1,N,Africa/Luanda,airport
962,Xangongo,Xangongo Airport,-16.7553997,14.96529961,Angola,XGN,FNXA,3635,1,N,Africa/Luanda,airport
2900,The Valley,Wallblake Airport,18.20479965,-63.05509949,Anguilla,AXA,TQPF,127,-4,U,America/Anguilla,airport
2493,Marambio Base,Marambio Base,-64.23829651,-56.63079834,Antarctica,\N,SAWB,760,12,U,Antarctica/South_Pole,airport
7947,Ross Island,McMurdo Station Ice Runway,-77.85399628,166.4689941,Antarctica,\N,NZIR,1,12,N,Antarctica/South_Pole,airport
9124,McMurdo Station,McMurdo Station Pegasus Field,-77.96340179,166.5249939,Antarctica,\N,NZPG,18,12,Z,Antarctica/South_Pole,airport
2033,Stephen's Island,South Pole Station Airport,-90,0,Antarctica,\N,NZSP,9300,12,U,Antarctica/South_Pole,airport
2661,Isla Rey Jorge,Teniente Rodolfo Marsh Martin Base,-62.19079971,-58.98669815,Antarctica,\N,SCRM,147,12,U,Antarctica/South_Pole,airport
7578,Budd Coast,Wilkins Runway,-66.690833,111.523611,Antarctica,\N,YWKS,2529,12,U,Antarctica/South_Pole,airport
2038,Weydon,Williams Field,-77.86740112,167.0570068,Antarctica,\N,NZWD,68,12,N,Antarctica/South_Pole,airport
