lumbung membersartists,country,venue,"type  (individual, collective,)","status  (invited artist,guest artist, guest collaborator)",number of guests,invited by / invited as part of,comments/ subproject,website,role (harvester),guests
Katharina Laura Kunz,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,PrivatOper,,,
Tobias Opialla,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,PrivatOper,,,
Lars Straehler-Pohl,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,PrivatOper,,,
Martina Hoffmann,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,PrivatOper,,,
Jan Körbes,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,ReFunc,,,
Schneider TM & Tomoko Nakasato,,,collective,guest artist,,ZK/U – Center for Art and Urbanistics,ReFunc,,,
Zappi W. Diermaier,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,ReFunc,,,
Lea Grönholdt,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Selbstgebaute Musik,,,
Matthias Kremsreiter,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Selbstgebaute Musik,,,
Sascha Schneider,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Selbstgebaute Musik,,,
Manuel Strube,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Selbstgebaute Musik,,,
Hajo Toppius,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Selbstgebaute Musik,,,
"Platform TJU, Mariupol",,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Merezha Program,,,
"Center for contemporary culture, Dnipro",,,collective,guest artist,,ZK/U – Center for Art and Urbanistics,Merezha Program,,,
"Garazh 127, Kharkiv",,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Merezha Program,,,
"Totem, Kherson",,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Merezha Program,,,
"Laboratory of Culture, Czernivtsi",,,collective,guest artist,,ZK/U – Center for Art and Urbanistics,Merezha Program,,,
Aline Schwörer,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Timemaschine,,,
Nelly Choné,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Timemaschine,,,
Frank Jimin Hopp,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Timemaschine,,,
Marie Salcedo Horn,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Timemaschine,,,
Danijela Pivašević-Tenner,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Timemaschine,,,
Harry Sachs,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,ZK/U – Zentrum für Kunst und Urbanistik,,,
Jan van Esch,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,ZK/U – Zentrum für Kunst und Urbanistik,,,
Kristina Miller,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,ZK/U – Zentrum für Kunst und Urbanistik,,,
Matthias Einhoff,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,ZK/U – Zentrum für Kunst und Urbanistik,,,
Philip Horst,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,ZK/U – Zentrum für Kunst und Urbanistik,,,
El Warcha,Tunisia,Fridericianum,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/el-warcha/>,,
Aziz Aissaoui,,,individual,guest artist,,El Warcha,,,,
Aziz Romdhani,,,individual,guest artist,,El Warcha,,,,
Benjamin Perrot,,,individual,guest artist,,El Warcha,,,,
Chiraz Guellela,,,individual,guest artist,,El Warcha,,,,
Marlene Halbgewachs,,,individual,guest artist,,El Warcha,,,,
Naomi Nantois Meadow,,,individual,guest artist,,El Warcha,,,,
Radhouane Boudhraa,,,individual,guest artist,,El Warcha,,,,
Selma Kossentini,,,individual,guest artist,,El Warcha,,,,
Nino Bulling,Germany,Hafenstrasse 76,individual,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/nino-bulling/>,,
Mloukhiyyé Al-Fil,,,individual,guest artist,,Nino Bulling,Samandal Comics x Nino Bulling,,,
Bilge Emir,,,individual,guest artist,,Nino Bulling,Samandal Comics x Nino Bulling,,,
Michel Esselbrügge,,,individual,guest artist,,Nino Bulling,Samandal Comics x Nino Bulling,,,
Aki Hassan,,,individual,guest artist,,Nino Bulling,Samandal Comics x Nino Bulling,,,
Nour Hifaoui,,,individual,guest artist,,Nino Bulling,Samandal Comics x Nino Bulling,,,
Joseph Kai,,,individual,guest artist,,Nino Bulling,Samandal Comics x Nino Bulling,,,
Bea Kittelmann,,,individual,guest artist,,Nino Bulling,Samandal Comics x Nino Bulling,,,
Romy Matar,,,individual,guest artist,,Nino Bulling,Samandal Comics x Nino Bulling,,,
Nygel Panasco,,,individual,guest artist,,Nino Bulling,Samandal Comics x Nino Bulling,,,
Barrack Rima,,,individual,guest artist,,Nino Bulling,Samandal Comics x Nino Bulling,,,
Jo Rüßmann,,,individual,guest artist,,Nino Bulling,Samandal Comics x Nino Bulling,,,
Natyada Tawonsri,,,individual,guest artist,,Nino Bulling,Samandal Comics x Nino Bulling,,,
Sheree Domingo,,,individual,guest artist,,Nino Bulling,Comic Artists’ Union,,,
Tinet Elmgren,,,individual,guest artist,,Nino Bulling,Comic Artists’ Union,,,
Bilge Emir,,,individual,guest artist,,Nino Bulling,Comic Artists’ Union,,,
Jul Gordon,,,individual,guest artist,,Nino Bulling,Comic Artists’ Union,,,
Eva Gräbeldinger,,,individual,guest artist,,Nino Bulling,Comic Artists’ Union,,,
Marc Hennes,,,individual,guest artist,,Nino Bulling,Comic Artists’ Union,,,
