lumbung membersartists,country,venue,"type  (individual, collective,)","status  (invited artist,guest artist, guest collaborator)",number of guests,invited by / invited as part of,comments/ subproject,website,role (harvester),guests
Nomaliqhwa Hadebe,,,individual,guest artist,,Chimurenga,,,,
Ntone Edjabe,,,individual,guest artist,,Chimurenga,,,,
Pura Lavisa,,,individual,guest artist,,Chimurenga,,,,
ZK/U – Center for Art and Urbanistics,Germany,ruruhaus/ Bootsverleih Ahoi /Hiroshima-Ufer (Karslaue),collective (institution),invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/zk-u-center-for-art-and-urbanistics/>,,
Aline Schwörer,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,,,,
Danijela Pivašević-Tenner,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,,,,
Frank Jimin Hopp,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,,,,
Marie Salcedo Horn,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,,,,
Nelly Choné,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,,,,
by MAP Markus Ambach Projekte,,,collective,guest artist,,ZK/U – Center for Art and Urbanistics,A LANDSCAPE,,,
Al Wali,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,A LANDSCAPE,,,
Blüchergarten,,,collective,guest artist,,ZK/U – Center for Art and Urbanistics,A LANDSCAPE,,,
Braumanufaktur Steckenpferd,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,A LANDSCAPE,,,
Essbare Stadt,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,A LANDSCAPE,,,
GemüseSelbstErnte am Waldauer Fußweg,,,collective,guest artist,,ZK/U – Center for Art and Urbanistics,A LANDSCAPE,,,
KGV Schwanenwiese,,,collective,guest artist,,ZK/U – Center for Art and Urbanistics,A LANDSCAPE,,,
Meister Florian,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,A LANDSCAPE,,,
Mike Euler,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,A LANDSCAPE,,,
MiLa Unterneustadt,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,A LANDSCAPE,,,
Renèe Tribble/ TU Dortmund,,,collective,guest artist,,ZK/U – Center for Art and Urbanistics,A LANDSCAPE,,,
SOLAWI Gärtnerei Fuldaaue,,,collective,guest artist,,ZK/U – Center for Art and Urbanistics,A LANDSCAPE,,,
Rene Wagner,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,A LANDSCAPE,,,
Florian Dietrich,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Art Ashram,,,
Georg Scherlin,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Art Ashram,,,
Klara Adam,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Art Ashram,,,
Markus Zimmermann,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Art Ashram,,,
Nelli David,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Art Ashram,,,
Sina Ahlers,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Art Ashram,,,
Verena Seibt,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Art Ashram,,,
Arved Schultze,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Art Ashram,,,
Alexander Römer,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,ConstructLab,,,
Daniela Medina-Poch,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Co–Re (Contextual Research),,,
Frederick Becker,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Co–Re (Contextual Research),,,
Jan Barner,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Co–Re (Contextual Research),,,
Min Kyung Kim,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Co–Re (Contextual Research),,,
Pablo Santacana Lopez,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Co–Re (Contextual Research),,,
Redwane Jabal,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Co–Re (Contextual Research),,,
Svenja Simone Schulte,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Co–Re (Contextual Research),,,
Viviane Tabach,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Co–Re (Contextual Research),,,
Daniel Seiple,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Making Waves,,,
Emily Kofsky,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Making Waves,,,
Hassan Aji,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Making Waves,,,
Momtaz Dimashqi,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Making Waves,,,
Nafee Kurdi,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Making Waves,,,
Gob Squad Arts Collective,,,collective,guest artist,,ZK/U – Center for Art and Urbanistics,Making Waves,,,
Sina Heffner,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,IAK – Institut für Architekturbezogene Kunst TU Braunschweig,,,
Max Jeromin,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,IAK – Institut für Architekturbezogene Kunst TU Braunschweig,,,
Folke Köbberling,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,IAK – Institut für Architekturbezogene Kunst TU Braunschweig,,,
Alexa Kreissl,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,IAK – Institut für Architekturbezogene Kunst TU Braunschweig,,,
Gergely Laszlo,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,IAK – Institut für Architekturbezogene Kunst TU Braunschweig,,,
Benjamin Menzel,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,IAK – Institut für Architekturbezogene Kunst TU Braunschweig,,,
Bernd Schulz,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,IAK – Institut für Architekturbezogene Kunst TU Braunschweig,,,
Michael Zwingmann,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,IAK – Institut für Architekturbezogene Kunst TU Braunschweig,,,
"""+140 Studierense""",,,collective,guest artist,,ZK/U – Center for Art and Urbanistics,IAK – Institut für Architekturbezogene Kunst TU Braunschweig,,,
Lea Søvsø,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,IAK – Institut für Architekturbezogene Kunst TU Braunschweig,,,
Yong Sun Gullach,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Madar Collective,,,
Fedaa Sultan,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Madar Collective,,,
Reiko Kanazawa,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Mimiferment,,,
Markus Shimizu,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Mimiferment,,,
Andrea Goetzke,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Picnic FM,,,
Josephinex Hansis,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,Picnic FM,,,
Roland Castringius,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,PrivatOper,,,
Andrea Chudack,,,individual,guest artist,,ZK/U – Center for Art and Urbanistics,PrivatOper,,,
